"task","bones_activated","bones_deactivated","diff_activated_minus_deactivated"
878,-5.057,-5.07700000000001,0.0200000000000173
326,-9.71700000000001,-9.73700000000001,0.0200000000000031
483,-7.401,-7.42100000000001,0.0200000000000031
842,-6.55100000000001,-6.57100000000001,0.0200000000000031
859,-8.1,-8.12,0.0200000000000031
891,-8.341,-8.361,0.0200000000000031
982,-6.937,-6.95700000000001,0.0200000000000031
322,-13.434,-13.454,0.0199999999999889
323,-12.456,-12.475,0.0190000000000268
331,-5.59299999999998,-5.61200000000001,0.0190000000000268
2,-14.838,-14.857,0.0190000000000126
14,-6.745,-6.76400000000001,0.0190000000000126
75,-4.55500000000001,-4.57400000000003,0.0190000000000126
211,-7.46699999999999,-7.486,0.0190000000000126
218,-4.76499999999998,-4.78399999999999,0.0190000000000126
219,-3.736,-3.75500000000001,0.0190000000000126
266,-9.167,-9.18600000000001,0.0190000000000126
366,-5.31,-5.32900000000001,0.0190000000000126
619,-5.254,-5.27300000000001,0.0190000000000126
638,-8.19299999999999,-8.212,0.0190000000000126
758,-6.754,-6.77300000000001,0.0190000000000126
767,-3.456,-3.47500000000001,0.0190000000000126
882,-16.209,-16.228,0.0190000000000126
1014,-6.918,-6.93700000000001,0.0190000000000126
78,-4.32399999999999,-4.34299999999999,0.0189999999999984
214,-6.623,-6.642,0.0189999999999984
363,-5.78900000000001,-5.80800000000001,0.0189999999999984
466,-9.14000000000001,-9.15900000000001,0.0189999999999984
474,-5.353,-5.372,0.0189999999999984
482,-7.623,-7.642,0.0189999999999984
533,-3.936,-3.955,0.0189999999999984
590,-4.49400000000001,-4.513,0.0189999999999984
722,-8.218,-8.237,0.0189999999999984
730,-4.716,-4.735,0.0189999999999984
762,-4.78899999999999,-4.80799999999999,0.0189999999999984
820,-2.175,-2.194,0.0189999999999984
634,-10.398,-10.416,0.0180000000000362
71,-7.846,-7.86400000000002,0.018000000000022
79,-3.163,-3.18100000000003,0.018000000000022
80,-0.0399999999999849,-0.0580000000000069,0.018000000000022
450,-7.69599999999999,-7.71400000000001,0.018000000000022
587,-5.16099999999999,-5.17900000000002,0.018000000000022
600,1.963,1.94499999999998,0.018000000000022
764,2.34300000000001,2.32499999999999,0.018000000000022
843,-5.85299999999999,-5.87100000000001,0.018000000000022
32,0.024000000000008,0.00599999999999312,0.0180000000000149
3,-12.275,-12.293,0.0180000000000078
6,-11.284,-11.302,0.0180000000000078
7,-9.117,-9.135,0.0180000000000078
11,-5.862,-5.88000000000001,0.0180000000000078
15,-4.55400000000001,-4.57200000000002,0.0180000000000078
16,-1.53700000000001,-1.55500000000002,0.0180000000000078
17,-2.27700000000001,-2.29500000000002,0.0180000000000078
18,-19.01,-19.028,0.0180000000000078
19,-15.288,-15.306,0.0180000000000078
20,-0.710000000000001,-0.728000000000009,0.0180000000000078
21,-1.898,-1.91600000000001,0.0180000000000078
22,-15.95,-15.968,0.0180000000000078
23,-12.312,-12.33,0.0180000000000078
24,2.13000000000002,2.11200000000001,0.0180000000000078
25,1.89600000000001,1.878,0.0180000000000078
26,-13.707,-13.725,0.0180000000000078
27,-9.55700000000001,-9.57500000000002,0.0180000000000078
28,2.106,2.08799999999999,0.0180000000000078
29,1.582,1.56399999999999,0.0180000000000078
31,-7.608,-7.626,0.0180000000000078
33,-5.034,-5.05200000000001,0.0180000000000078
34,-14.683,-14.701,0.0180000000000078
35,-12.309,-12.327,0.0180000000000078
38,-11.258,-11.276,0.0180000000000078
39,-9.224,-9.242,0.0180000000000078
43,-5.855,-5.873,0.0180000000000078
47,-4.552,-4.57000000000001,0.0180000000000078
48,-1.66499999999998,-1.68299999999999,0.0180000000000078
